"Metacritic";"VariantCount";"Steam1";"Steam2";"Steam3";"Steam4";"Steam5";"Steam6";"Steam7";"Steam8";"Steam9";"Steam10"
"World of Warcraft: Mists of Pandaria";"0";;;;;;;;;;
"World of Warcraft: Legion";"0";;;;;;;;;;
"World of Warcraft: Cataclysm";"0";;;;;;;;;;
"World of Warcraft: Battle Chest";"0";;;;;;;;;;
"World of Warcraft";"0";;;;;;;;;;
"World Of Undead";"0";;;;;;;;;;
"World of Tanks";"1";"Worlds of Chaos";;;;;;;;;
"World of Subways Volume 1: The Path New York Underground";"0";;;;;;;;;;
"World of Subways 4 - New York Line 7";"1";"World of Subways 4 – New York Line 7";;;;;;;;;
"World of Subways 3 - London Underground Circle Line";"0";;;;;;;;;;
"World of Subways 2 - Berlin Line 7";"1";"World of Subways 4 – New York Line 7";;;;;;;;;
"World of Simulators: Deluxe Edition";"1";"Agricultural Simulator 2012: Deluxe Edition";;;;;;;;;
"World of Outlaws: Sprint Cars";"0";;;;;;;;;;
"World of Need for Speed";"0";;;;;;;;;;
"World of Mixed Martial Arts 2";"0";;;;;;;;;;
"World of Mixed Martial Arts";"0";;;;;;;;;;
"World of Harry Potter";"0";;;;;;;;;;
"World of Golf";"0";;;;;;;;;;
"World of Farming: Gold Edition";"0";;;;;;;;;;
"World of EA Sports 2004";"0";;;;;;;;;;
"World of EA Games";"0";;;;;;;;;;
"World of Cinema";"0";;;;;;;;;;
"World of Battles: Morningstar";"0";;;;;;;;;;
"World of Battles";"0";;;;;;;;;;
"World of Arch";"1";"World War I";;;;;;;;;
"World of Animals: Pets 'n Pals Collection";"0";;;;;;;;;;
"World Mosaics";"0";;;;;;;;;;
"World In Flames";"0";;;;;;;;;;
"World In Danger";"0";;;;;;;;;;
"World in Conflict: Soviet Assault";"0";;;;;;;;;;
"World in Conflict: Complete Edition";"0";;;;;;;;;;
"World in Conflict";"0";;;;;;;;;;
"World Gone Sour";"0";;;;;;;;;;
"World Golf 2011";"0";;;;;;;;;;
"World End Economica episode.1";"0";;;;;;;;;;
"World Destroyers";"0";;;;;;;;;;
"World Cup 98";"0";;;;;;;;;;
"World Class Poker with T.J. Cloutier";"0";;;;;;;;;;
"World Championship Tennis";"0";;;;;;;;;;
"World Championship Pool 2004";"0";;;;;;;;;;
"World Championship Poker 2: Featuring Howard Lederer";"0";;;;;;;;;;
"World Builder";"0";;;;;;;;;;
"World Boxing Manager";"0";;;;;;;;;;
"World at War";"0";;;;;;;;;;
"World Airports";"0";;;;;;;;;;
"World Airliners";"0";;;;;;;;;;
"WordJong";"0";;;;;;;;;;
"Word Whomp To Go";"0";;;;;;;;;;
"Word Slinger";"0";;;;;;;;;;
"Word Monaco";"0";;;;;;;;;;
"Word Mania 2";"0";;;;;;;;;;
"Word Krispies";"0";;;;;;;;;;
"Word Harmony";"0";;;;;;;;;;
"Woody Woodpecker: Escape from Buzz Buzzard Park";"0";;;;;;;;;;
"Woody Woodpecker Racing";"0";;;;;;;;;;
